Golden "goldens/circular_directory_light_1440.png"	Pixel test failed, 0.12%, 1600px
Golden "goldens/circular_directory_light_375.png"	Pixel test failed, 0.47%, 1600px
Golden "goldens/circular_directory_light_768.png"	Pixel test failed, 0.23%, 1600px
Golden "goldens/circular_directory_text_200_1440.png"	Pixel test failed, 13.55%, 214674px
Golden "goldens/circular_directory_text_200_375.png"	Pixel test failed, 21.33%, 87988px
Golden "goldens/communication_directory_dark_1024.png"	Pixel test failed, 1.14%, 10487px
Golden "goldens/communication_directory_dark_1440.png"	Pixel test failed, 0.81%, 10487px
Golden "goldens/communication_directory_dark_375.png"	Pixel test failed, 3.11%, 10487px
Golden "goldens/communication_directory_dark_768.png"	Pixel test failed, 1.52%, 10487px
Golden "goldens/communication_directory_empty_light_375_v4_22.png"	Pixel test failed, 0.43%, 1450px
Golden "goldens/communication_directory_error_dark_1440_v4_22.png"	Pixel test failed, 0.81%, 10487px
Golden "goldens/communication_directory_light_1024.png"	Pixel test failed, 0.16%, 1450px
Golden "goldens/communication_directory_light_1440.png"	Pixel test failed, 0.11%, 1450px
Golden "goldens/communication_directory_light_375.png"	Pixel test failed, 0.43%, 1450px
Golden "goldens/communication_directory_light_768.png"	Pixel test failed, 0.21%, 1450px
Golden "goldens/communication_directory_no_results_light_375_v4_22.png"	Pixel test failed, 0.43%, 1450px
Golden "goldens/communication_directory_text_200_1440.png"	Pixel test failed, 14.36%, 227480px
Golden "goldens/communication_directory_text_200_375.png"	Pixel test failed, 19.97%, 82376px
Golden "goldens/form_response_light_375.png"	Pixel test failed, 0.05%, 194px
Golden "goldens/forms_editor_catalog_groups_light_1440.png"	Pixel test failed, 3.27%, 42436px
Golden "goldens/forms_editor_catalog_light_1440.png"	Pixel test failed, 3.27%, 42436px
Golden "goldens/forms_editor_dark_1024.png"	Pixel test failed, 5.41%, 49824px
Golden "goldens/forms_editor_dark_1440.png"	Pixel test failed, 4.07%, 52698px
Golden "goldens/forms_editor_dark_1440_text_200.png"	Pixel test failed, 6.70%, 96465px
Golden "goldens/forms_editor_dark_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/forms_editor_dark_768.png"	Pixel test failed, 3.78%, 26142px
Golden "goldens/forms_editor_date_range_light_1440.png"	Pixel test failed, 4.06%, 52558px
Golden "goldens/forms_editor_light_1024.png"	Pixel test failed, 5.39%, 49694px
Golden "goldens/forms_editor_light_1440.png"	Pixel test failed, 4.06%, 52558px
Golden "goldens/forms_editor_light_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/forms_editor_light_375_text_200.png"	Pixel test failed, 0.05%, 194px
Golden "goldens/forms_editor_light_768.png"	Pixel test failed, 3.78%, 26142px
Golden "goldens/forms_editor_preview_light_1440.png"	Pixel test failed, 4.06%, 52558px
Golden "goldens/forms_operations_monitor_light_375.png"	Pixel test failed, 0.05%, 194px
Golden "goldens/group_detail_dark_1440_focus.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/group_detail_dark_1440_ready.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/group_detail_dark_1440_reload.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/group_detail_light_375_focus.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/group_detail_light_375_ready.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/group_detail_light_375_reload.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/help_center_empty_dark_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/help_center_empty_light_1440.png"	Pixel test failed, 0.24%, 3058px
Golden "goldens/import_hub_directory_dark_1024.png"	Pixel test failed, 0.02%, 194px
Golden "goldens/import_hub_directory_dark_1440.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/import_hub_directory_dark_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/import_hub_directory_dark_768.png"	Pixel test failed, 0.03%, 194px
Golden "goldens/import_hub_directory_light_1024.png"	Pixel test failed, 0.02%, 194px
Golden "goldens/import_hub_directory_light_1440.png"	Pixel test failed, 0.24%, 3058px
Golden "goldens/import_hub_directory_light_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/import_hub_directory_light_768.png"	Pixel test failed, 0.03%, 194px
Golden "goldens/import_hub_empty_light_375_v4_21.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/import_hub_new_dialog_light_1440.png"	Pixel test failed, 0.24%, 3049px
Golden "goldens/import_hub_no_results_light_375_v4_21.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/import_hub_unauthorized_dark_1440_v4_21.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/import_hub_unavailable_dark_1440.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/import_hub_wizard_unavailable_light_1440_200.png"	Pixel test failed, 0.44%, 5750px
Golden "goldens/institution_directory_card_hover_light_1440.png"	Pixel test failed, 0.24%, 3058px
Golden "goldens/institution_directory_cards_dark_1024.png"	Pixel test failed, 0.02%, 194px
Golden "goldens/institution_directory_cards_dark_1440.png"	Pixel test failed, 0.24%, 3068px
Golden "goldens/institution_directory_cards_dark_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/institution_directory_cards_dark_768.png"	Pixel test failed, 0.03%, 194px
Golden "goldens/institution_directory_cards_light_1024.png"	Pixel test failed, 0.02%, 194px
Golden "goldens/institution_directory_cards_light_1440.png"	Pixel test failed, 0.24%, 3058px
Golden "goldens/institution_directory_cards_light_375.png"	Pixel test failed, 0.06%, 194px
Golden "goldens/institution_directory_cards_light_768.png"	Pixel test failed, 0.03%, 194px
Golden "goldens/institution_directory_collapsed_flyout_hover_light_1024.png"	Pixel test failed, 0.33%, 3058px
