"manifest_id","version","name","path","size","sha256_raw","sha256_lf_normalized","origin","local_relation","classification","remote_statement_evidence"
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152722","contextual_chat_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724152722_contextual_chat_foundation.sql","22886","a0f0c0375ce21049e4ccee1e8005b719e1b3fe280c237c8a0bdc79d3f9a18e30","a0f0c0375ce21049e4ccee1e8005b719e1b3fe280c237c8a0bdc79d3f9a18e30","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152722","contextual_chat_foundation","remote://supabase_migrations/schema_migrations/20260724152722",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152731","attendance_assiduity_foundation","packages/coelo_database/migrations/20260724152731_attendance_assiduity_foundation.sql","33208","d8f99e587330eb4ec8f30525097a25667cc593b0cb03722dc89b1cdf47269ae6","031548dba15ffd3124ef397814c246bf9d39fdd723fc0d5c4e1b5090df87a5c0","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152731","attendance_assiduity_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724152731_attendance_assiduity_foundation.sql","32473","031548dba15ffd3124ef397814c246bf9d39fdd723fc0d5c4e1b5090df87a5c0","031548dba15ffd3124ef397814c246bf9d39fdd723fc0d5c4e1b5090df87a5c0","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152731","attendance_assiduity_foundation","remote://supabase_migrations/schema_migrations/20260724152731",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161334","contextual_domains_compatibility_hardening","packages/coelo_database/migrations/20260724161334_contextual_domains_compatibility_hardening.sql","1743","9d73e2abf73c76fd1c20573d8423b297e885ce670570604f65ec6905cae0b4e7","4a9897635f1bd87a7d091644026b5a01143ffe49e6ef00ff296bf956cfeeaff6","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161334","contextual_domains_compatibility_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724161334_contextual_domains_compatibility_hardening.sql","1690","4a9897635f1bd87a7d091644026b5a01143ffe49e6ef00ff296bf956cfeeaff6","4a9897635f1bd87a7d091644026b5a01143ffe49e6ef00ff296bf956cfeeaff6","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161334","contextual_domains_compatibility_hardening","remote://supabase_migrations/schema_migrations/20260724161334",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161706","contextual_domains_advisor_hardening","packages/coelo_database/migrations/20260724161706_contextual_domains_advisor_hardening.sql","11245","5621569f754a28c855386bf8a346a02e2d51fbc49feb4f75558944444102421d","202f32c0366ba6b2deab78c2506d18367c30bf303c81625c60da56ecebcf48e7","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724161706","contextual_domains_advisor_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724161706_contextual_domains_advisor_hardening.sql","10989","202f32c0366ba6b2deab78c2506d18367c30bf303c81625c60da56ecebcf48e7","202f32c0366ba6b2deab78c2506d18367c30bf303c81625c60da56ecebcf48e7","recovery","eol-equivalent","remote-version+head-present",
